airline_sentiment,airline_sentiment_confidence,airline,text
negative,0.6361,United,"@united Not to belabor my point,but shouldn't I be able to put a laptop bag above my seat? Why is it announced to leave it for rollers? Thx"
negative,0.6363,Delta,@JetBlue understood ... but could I go and put myself on the standby list 5 hours prior to my flight?
negative,0.6366,Southwest,@SouthwestAir @thirty_lives birthday is the 24th and he's not seeing Imagine Dragons at #DestinationDragons ?
negative,0.6368,United,"@united I did not, my mind was on getting to the next flight."
negative,0.6369,United,"@united it was an international flight, and we didn't get our new eta until we were in the air."
negative,0.6372,American,@AmericanAir Flight AAL65 declared state of emergency? Squawking 7700...
negative,0.6374,US Airways,@USAirways never fails to disappoint.
negative,0.6379,American,"@AmericanAir No. Had to Cancelled Flight my trip. Instead of a $25 future trip voucher, a $25 drink coupon would've been better! #WakingInMemphis"
negative,0.6381,United,@united thx. Come hell or high water...
negative,0.6383,Delta,@JetBlue Thanks for the THIRD gate change http://t.co/UfBdr5AxeO
negative,0.6389,United,@united Please msg me a # for customer service. I will have an invoice for my dry cleaning but won't be able take wet clothes to the airport
negative,0.6392,Delta,"@JetBlue appreciate the response but already spoke to a MCO and their response was ""There is nothing we can do"" idk if that's what you mean"
negative,0.6392,United,@united considering it. Currently gold on @delta. Why should I make the jump for an upcoming flight from SFO to Singapore?
negative,0.6392,United,"@united yep that's correct, I got an email at 12:30 am that the flight was Cancelled Flightled, doesn't matter now flight into atl is delayed, thx"
negative,0.6397,American,"@AmericanAir followed. I tried to @USAirways record locator number, gave me an error code"
negative,0.6403,Southwest,@SouthwestAir been on hold for 20 mins to Cancelled Flight my reservation. Can you assist?
negative,0.6404,American,@AmericanAir Rebooked for tomorrow morning. Never been here - not sure what I can see before tomorrow morning!
negative,0.6404,Southwest,@SouthwestAir I'm showing flight 4720 delayed again. Would my boarding pass still be good or was my seat given away?
negative,0.6405,American,@AmericanAir it's been almost 3 days and it's still frozen. Thanks doll 😘😑
negative,0.6405,Delta,@JetBlue I would like to send an email to Lost and Found at JetBlue JFK; I spoke to them this morning but cannot drive their today.
negative,0.6409,United,"@united, Thanks, but I didn't want to see 'we've started your flight search over' OR 'the fare &amp; rules for this itinerary has changed' again"
negative,0.6417,United,@united I sent a DM re an existing reservation but no one has responded
negative,0.6418,American,@AmericanAir She seems a little preoccupied - that's why I'm bringing it to your attention. I am just flagging an issue as an observer.
negative,0.642,United,@united Usually an issue with Express our of SFO. Positive note: Mainline p.s. was enjoyable.
negative,0.642,Virgin America,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of! ❄️❄️❄️
negative,0.6421,US Airways,@USAirways flt 470 Tampa to CLT is very Late Flight gonna miss conn to BOS what can you do?
negative,0.6421,US Airways,@USAirways look @Delta has made the right call on CHO. Please evaluate. http://t.co/3KhGjoFgpX
negative,0.6421,United,"@united I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?"
negative,0.6422,American,"@AmericanAir Thx, someone picked up after 45 minutes"
negative,0.6424,United,@united need assistance. Line is out the door and travelling with 3 kids.
negative,0.6427,US Airways,@USAirways I'm unable to check in for flight 2119 BOS-DCA and haven't heard if flight was Cancelled Flighted/rescheduled. Any updates??
negative,0.6436,Southwest,"@SouthwestAir Why, when I booked via phone after calling the A List preferred #, didn't my KTA get added to the ticket??? Must I use web?"
negative,0.6436,US Airways,@USAirways our flight was rebooked with you and we want to change our seats or upgrade to 1st class. Can you help? Phones are down.
negative,0.6437,American,"@AmericanAir that's interesting-Agent told me so. Sadly, another booked passenger didn't make it to gate by push back so I made it on."
negative,0.6438,American,@AmericanAir Thanks. Took care of it. Issue was IVR was unclear and took too long to get a call-back option. Would love to see that fixed.
negative,0.6438,Southwest,@SouthwestAir What do you call that??!!
negative,0.6438,United,@united plus what about food? And taxis?
negative,0.6442,Delta,@JetBlue Only middle seats. SFO -&gt; BOS. Not fun. She keeps getting $10 credits. Would much rather have a working TV.
negative,0.6442,Southwest,@SouthwestAir darn! I bought it on the wrong device! No way to switch I'm sure?
negative,0.6444,Delta,@JetBlue any idea what's going on at terminal five at JFK? Seems to be zero traffic movement
negative,0.6446,United,"@united Awesome flight crew on UA1589, re the plane, the Jurassic period called and they want their dinosaur/plane back!"
negative,0.6448,American,@AmericanAir FYI...call stilling getting dropped. After an hour of continuous dialing. Attempted to Cancelled Flight online but not able to. HELP!!!
negative,0.6448,US Airways,"@USAirways And, the helpful employee who changed her boarding zone so that she would have space for her pump is now being disciplined #fail"
negative,0.6451,American,@AmericanAir yes. We spent the whole day talking to agents and someone finally offered to let him stay in a hotel
negative,0.6451,US Airways,@USAirways another squashed flight. Having to share my seat with another passenger is not@my idea of quality travel
negative,0.6452,US Airways,@USAirways 1729 connecting in charlotte to houston. Mechanical issue determined while q'd to take off. And we checked our bags.
negative,0.6452,US Airways,"@USAirways : When You've Got to Get There, We've Got Excuses! #usairwaysfail"
negative,0.6452,United,"@united Such as deodorant, shampoo, toothpaste. Seems like that would be limited to 70oz, correct?"
negative,0.6455,Virgin America,@VirginAmerica Site down? #help
negative,0.6456,American,"@AmericanAir Orbitz has only shown ""priority"" seats since we booked &amp; paid 3 weeks ago."
negative,0.6458,Delta,@JetBlue it was but obviously it wasn't linked as there is nothing there when I tried to book with it.
negative,0.6458,Delta,@JetBlue 👍. I think I'll come take a nap at the terminal. ;)
negative,0.6458,US Airways,@USAirways : We Suck -- And Pass the Savings on to Us! #usairwaysfail
negative,0.6459,Southwest,"@SouthwestAir 2 1/2 hours Late Flight, but I made it to sf! Maybe you can help me get on an earlier flight on Sunday :)"
negative,0.6459,United,"@united if u miss first leg of ur flight, you have to pay hundreds of $'s just to keep your second leg? How much to keep my earned miles?"
negative,0.646,Southwest,"@SouthwestAir Promotion also said two free round trip flights. Nope, had to pay $200 extra for chi to Vegas. Bait&amp;switch."
negative,0.6465,Delta,@JetBlue *cough* #awkward!
negative,0.6465,Delta,@JetBlue bag is supposedly here in Boston
negative,0.6465,United,@united perhaps you could fix this? https://t.co/72RMpkOGwu and this https://t.co/901HLNgBtX #answerthis
negative,0.6468,United,@united iCloud it is not there yet -- PLEASE HELP 917 703 1472
negative,0.6471,Delta,@JetBlue - He Cancelled Flightled a flight &amp; was given 2 weeks to apply travel bank credit to another flight &amp; credit was transferable
negative,0.6476,Southwest,@SouthwestAir after a long wait of over an hour my mother's bag did not make it. We filed a report and are waiting. Thanks for your help
negative,0.6477,Southwest,@SouthwestAir Yes I know that. Also noticed you offer A list boarding after A60. So your programs are too popular.
negative,0.6477,Southwest,@SouthwestAir can I get any kind of update on the delayed flight from Boston to Houston at 7:30? Really need to be back home tonight!
negative,0.6479,Southwest,@SouthwestAir FIND A WAY TO Cancelled Flight FLIGHT 310!!!!!!!
negative,0.6479,United,@united I'm not booked on a 1:30 return flight..
negative,0.648,Delta,@JetBlue flight 16 now sent back to the gate even though the app says its leaving. Anyone have a clue? It's 36 and sunny at JFK
negative,0.6481,United,"@united reFlight Booking Problems would not have made me reach on time for my meeting. Also didn't wanna take a chance, Booked myself on @etihad instead"
negative,0.6484,Southwest,@SouthwestAir Your hold music needs 2 be fixed:certain tracks have loud phone button mashing tones in them.Estimated wait time would help 2.
negative,0.6485,United,@united why are your SFO-&gt;BOS nonstop flights not competitively priced with those of JetBlue and Virgin? $179 vs $324. Identical times.
negative,0.6488,American,@AmericanAir How do I check? Reservation for Joe Watson and Kelsey Jennings. We were on hold for 2 hours. Waiting for call back now. ETA?
negative,0.6489,Virgin America,@VirginAmerica What is the reason for the delay of the departure of VX 413 from JFK this afternoon?
negative,0.6491,Delta,"@JetBlue okay. Names of SJ crew are Alamo, Tatiana. Keep telling me to hold, then leave desk. Ali told me he couldn't help bc going on break"
negative,0.6491,Delta,@JetBlue whose performing at T5
negative,0.6492,United,@united But they are not... lady one phone says its in tel aviv. Tel Aviv united says its in Newark. No one knows and I have nothing...
negative,0.6492,United,"@united nope. Called, lost the seating preference I paid for, and here I still sit. We'll see what happens w/ my flight Late Flightr."
negative,0.6495,Southwest,@SouthwestAir I did but it only shows one flight one way. When I try to go to the home page and book roundtrip there's nothing available :(
negative,0.6496,United,@united didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard...
negative,0.6498,US Airways,"@USAirways right, can you use a shuttle ticket from LGA to BOS for any shuttle flight? Probably gonna miss the 4pm."
negative,0.65,American,@AmericanAir She got to the gate just in time to watch the plane push back. 5 minutes was all she needed. Glad we’ve relatives nearby.
negative,0.65,Delta,@JetBlue App still saying I can't DM you...
negative,0.65,Southwest,@SouthwestAir My husband is responding to him and he insist to remove him from the seat. BTW signs are in both English and Spanish.
negative,0.6505,Delta,Do less please @JetBlue
negative,0.6506,American,@AmericanAir Okay... If someone does it look for it now my fear is it will be lost forever. It's a very small item.
negative,0.6508,Southwest,"@SouthwestAir trying to change my reservation, been on hold for 45 minutes, and can't do it online-was directed to call. Help?"
negative,0.6508,United,@united Pls post video of belligerent jerk ranting at SFO (1230) that's he's going to sue you for making him check his 3rd bag. He's a hoot!
negative,0.6511,US Airways,@USAirways more like USDELAY-ways. Another long 'paperwork' reLate Flightd delay - Friday in Charlotte. Today in Philly. #letsgoalready
negative,0.6512,American,#nothelpful MT @AmericanAir: Our call volume is extremely high today. Our apologies. Please continue contacting Reservations for assistance.
negative,0.6512,American,@AmericanAir I fly weekly with you and haven't seen one
negative,0.6512,US Airways,"@USAirways: u didn't bother following up, we booked with @Delta. @Delta understands cust srv: provided lunch 4 delays &amp; upgraded seats!"
negative,0.6513,Delta,@JetBlue Apparently the pilot had made some announcement about engine trouble and losing fuel too quickly.
negative,0.6515,American,@AmericanAir The issue is the lack of consideration of an announcement made so Late Flight when the gate agent had been there for over an hour.
negative,0.6515,Southwest,"@SouthwestAir experiencing the worst customer service ever currently. Waited for CS rep, then put ""on hold"" but actually was hung up on."
negative,0.6515,US Airways,@USAirways and it still says it's on time on your website btw
negative,0.6515,United,@united Adding reservation to iOS app doesn't show up on desktop site when logged in. And miles can't be redeemed for upgrades thru your app
negative,0.6515,United,@united how do you log out of wifi in flight? Don't see any option and made typo when logging in. HELP!!
negative,0.6517,United,@united Friend at O'Hare and can't get on flight bc they say no proof he bought 1st class tkt. He has boarding pass.
negative,0.6518,Delta,@JetBlue ok we got as far as Atlantic City due to JFK being closed. Can you get us to HPN or LGA?? Please?
negative,0.6519,US Airways,@USAirways half an inch of snow in Charlotte #overwhelming
negative,0.652,US Airways,"@USAirways US 728 stated their issues as: plane not moving as cargo door open on plane. Umm, ok. A little strange."
negative,0.6522,Delta,"@JetBlue Why doesn't your ""Best Fare Finder"" work?"
negative,0.6523,US Airways,.@USAirways It was this saturday during all the snow in the DC area. Excited the flight was not Cancelled Flightled but sad he went missing.
negative,0.6523,US Airways,@USAirways why cant Sapphire members reach anyone on the phone?
negative,0.6524,United,@united now let there also pls be in-flight live TV on UA469 DEN-EWR so I can watch the #Oscars ??
negative,0.6526,Southwest,@SouthwestAir why can't i reschedule my flight online?
negative,0.6526,United,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united
negative,0.6526,United,@united I just need to get to RIC tonight. I've been in EWR for 24hrs now.
negative,0.6528,American,@AmericanAir the one at 11:30am? My app still shows it as on time!
negative,0.6528,Delta,"@JetBlue When I arrived at the airport, I was told my ticket had been refunded because my name had a fraud alert."
negative,0.6531,Delta,@JetBlue that's what they told me half an hour ago
negative,0.6531,US Airways,@USAirways understood and I am sympathetic. How do I get my $100 back? I shouldn't have to pay especially if YOU switched my flight.
negative,0.6531,United,@united why do I have to go thru the details of the flight I want w/ the recording to then repeat ALL when a real person gets on the line?
negative,0.6534,United,"@united gotta love giving up 1st class upgrade b/c flight delayed, to get another flight (also delayed) just to ensure I make my connection."
negative,0.6535,US Airways,@USAirways please hogs my next flight for me! I'm waiting on a bus to get me off one plane so I can run to the other. It leaves in two min!
negative,0.6535,United,@united 1k and had problem getting out of FLL to IAH sent DM to you about making my connection please let me know
negative,0.6537,United,@united thank you for the reply. I emailed your customer care department about my experience.
negative,0.6539,American,@AmericanAir I need a flight out tonight. Isn't there anything else?
negative,0.654,Southwest,@SouthwestAir why did you book my hotel twice?!?! Ahhhhh
negative,0.654,Virgin America,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome"
negative,0.6541,Southwest,"@SouthwestAir @Kaneshow @InternJohnRadio @mrerickv THIS IS EVERYTHING... now, return that jet so we can go to Miami!"
negative,0.6543,United,@united Morning! 4603 has been delayed by 7 hours. Can you get me to Newark for my 10am meeting?
negative,0.6543,Virgin America,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
negative,0.6546,US Airways,@USAirways a member of your staff at PHL just gave us excellent customer care. Shame the same couldn't be said for the past 24 hours.
negative,0.6547,American,"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal"
negative,0.6547,United,"@united Nope, no more chances. Your airline messed up both ways of our trip."
negative,0.6549,American,"@vanessaannz seriously, you hate @AmericanAir since they can't accommodate you due to inclemental weather disruptions? lol, very funny"
negative,0.6551,US Airways,@USAirways yay for glitchy tracking system! My bags made it to my destination and not Laguardia like the app said!
negative,0.6551,United,@united Learn to hold connections. They texted me there is another flight Late Flightr - my connection hasn't left and were pulling into the gate
negative,0.6552,US Airways,"@USAirways I absolutely knew you would try to blame weather to deny us vouchers in Phoenix. Totally false, was a crew issue."
negative,0.6556,US Airways,"@USAirways redeemed themselves! Flight out at 7:44!!! Had to call and negotiate, but thank the Lord I'm heading home!!!!!"
negative,0.6559,Delta,@JetBlue I'm trying to add my 2012 flights to my Badges account but i don't see an option. Help plz?
negative,0.6559,US Airways,"@USAirways ""We can't help you. We don't put people up in hotels when you miss a flight it's against policy."""
negative,0.6559,United,@united I'm a first time solo female traveller and it's pretty scary being in a foreign place not knowing where your belongings are...
negative,0.656,American,"@AmericanAir My bag flew with AA while I flew with Delta, and I'm still not sure whose final carrier is referred to."
negative,0.6562,American,@AmericanAir @united @SpiritAirPR @Fioretti2ndWard @ChicagosMayor @garcia4chicago BS that #Noise #Late Flight #NoRahm http://t.co/CFzdJmn0uI
negative,0.6563,Southwest,@SouthwestAir My husband a first time flyer with you has had the worst experience on board a aircraft just a few minutes ago.
negative,0.6563,US Airways,"@usairways really need help asap, so please make it quick. Thx."
negative,0.6565,United,@united quality work going on here. http://t.co/9xbO5daKaK
negative,0.6566,American,@AmericanAir thx for the apology. A commitment to fix your broken system would be better. Actually fixing it would be better still.
negative,0.6566,Delta,@JetBlue just learning about your famous apology in social media marketing. Is Twitter an asset for Jet Blue now? @PhD_Mama_
negative,0.6566,US Airways,@USAirways PLEASE HELP need our plane to wait to go to #ELMIRA on Tarmac over an hr baggage took 45 and still not here thru customs
negative,0.6566,US Airways,"@USAirways flight 2022 out of Phil, no update and was supposed to leave 15 minutes ago. Sitting in airport, wondering#irritated"
negative,0.6568,United,@united Thanks! I'll fill up the form as soon as I land. I don't like being duped so I hope you will appreciate my feedback &amp; will be better
negative,0.6569,American,"@AmericanAir Great, then tell me how you will fix it? @Suntimes @WSJ @latimes @nytimes #media #filmcrew #photography #cameragear"
negative,0.657,Delta,@JetBlue Is there an issue with your website and logging on? (App too?) I know I am entering info correctly but cannot sign in! :(
negative,0.6575,Delta,"@JetBlue I travel for business twice a week and after the @AmericanAir fiasco, I'll be flying blue more often. Thanks."
negative,0.6576,American,@AmericanAir there is a fat man stuck in your airplanes bathroom
negative,0.6578,US Airways,@USAirways @AmericanAir stranded in North Carolina and trying to figure out options but can't get anyone to talk to
negative,0.6579,United,@united You know what the United Club needs? Power. MOAR power. Insufficient outlets for the #RoadWarrior (ORD)
negative,0.6581,American,"@AmericanAir sorry so Late Flight, responded to your DM."
negative,0.6581,United,@united of course I need help. I've been DMing you ladies and gents all day. Your only solution is hope for the best and LAX.
negative,0.6582,Delta,"@JetBlue if someone had bothered to inform us that the airport closed, that would have helped."
negative,0.6585,Delta,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Ur60Un86gy
negative,0.6588,US Airways,@USAirways I was re accommodated for my DSM flight tonight after a delay from Myrtle Beach now the flight to DSM is back on for tonight?
negative,0.659,American,@AmericanAir @cheerUPDATES So you're saying the call center is understaffed?
negative,0.6591,United,@united Thanks for the reply. The box is not mine and I'm not missing one. It was added to my bag ....
negative,0.6591,United,@united yes... A ride home would be perfect.. A fete one would assume possible after charging 1600$ for a domestic flight... Ps we deplaned
negative,0.6592,American,"@AmericanAir Are there any travel advisories for Toronto, ON today? I can't access anything regarding international travel on your website--"
negative,0.6592,American,"@AmericanAir Thanks that was done, I just don't understand why those whose bags couldn't fit aren't notified in air/at landing #technology"
negative,0.6596,Delta,"@JetBlue where is the ""award winning service""?"
negative,0.6596,Southwest,"@SouthwestAir @LeeAnnHealey I was all, yeah sale fares! I got places to fly! Oh damn, right, I live where SWA doesn't fly. #why"
negative,0.6596,Southwest,@SouthwestAir Did yall get rid of the Austin to Cabo flights all together? There's zero non-stop in Aug and Sept
negative,0.6596,Southwest,"@SouthwestAir PWM direct to Orlando on Saturdays, why is this only happening in March? I thought it was going to be a permanent thing. :("
negative,0.6596,US Airways,"@USAirways Chairman Preferred with 518,758 lifetime miles. What is my US Air reward, no #firstclass upgrades on @AmericanAir as usual."
negative,0.6596,US Airways,@USAirways you can send my luggage to my house👋
negative,0.6598,American,@AmericanAir any idea on what the wait time is for refunds from @USAirways? I was told a few days over the phone - but it's well past that.
negative,0.6598,Delta,"@JetBlue, I've experienced better service making connecting flight from @united and @AmericanAir #badcustomerservice #jfk #pr"
negative,0.6598,Southwest,@SouthwestAir I have a voucher w swa that expires 4/10. An extension would be a lot of luv
negative,0.6598,Southwest,"@SouthwestAir cool the plane you said is ours that just left the terminal for a diff city? She a cold betch for ""flying the friendly skies"""
negative,0.6598,US Airways,"@USAirways Yes &amp; have already spent 1K+ on the card &amp; paid the $89 annual fee, but the 50K miles have not shown up. Want to fly AUS --&gt; ATL"
negative,0.6598,US Airways,@USAirways how long for a reply
negative,0.6598,United,@United is offering to reroute my SFO flight to LAX. Might be geography class time.
negative,0.66,United,@united But I got a bad exchange rate so want my money back. Please can you refund without penalty.
negative,0.66,United,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.
negative,0.6603,Southwest,@SouthwestAir Weather seriously cannot even be the only excuse at this point because it was awful service in the summer too. Over it.
negative,0.6606,Southwest,@SouthwestAir good to know NOW! Three sets of travelers in just 20 mins standing here waiting for mins to pass by.
negative,0.6606,US Airways,@USAirways not moving we are in the tarmac delayed for some unknown reason. I'll keep you posted
negative,0.6606,United,@united LE2V9D pnr numbered flight. The first leg is Cancelled Flightled due to bad weather in iatanbul. How can i make a reFlight Booking Problems
negative,0.661,American,@AmericanAir it's always better to find out equipment is INOP on the ground than in the air! #safetyfirst
negative,0.6611,Southwest,"@SouthwestAir #1687 MDW-SAN. Like most flights, if I'm watching free TV it works but won't hardly access any websites - including your own."
negative,0.6613,US Airways,@USAirways site shows on-time but FlightAware site shows delayed. Trying to decide if I get out in this ice to catch FLT 456 to PHX.
negative,0.6613,United,@united UA7985 is a coshared flight w/ ANA. Unable to check in 24 hrs prior.
negative,0.6614,American,@AmericanAir Policy makers need to change their mindset on aviation. Flying is not for... http://t.co/DQnn0Rf1V8
negative,0.6614,US Airways,@USAirways it's flt 4827 to ELM - still no gate and still have to make it thru customs
negative,0.6617,Delta,@JetBlue I'm at 4:05 will be nasty in Boston. Have family driving 90 min to pick me up from Erie think flight - what if Cancelled Flighted?
negative,0.6619,United,@united I’ve filled out the form twice. No email. I have a lost item code. Can you verify it was received?
negative,0.662,Delta,@JetBlue why won't the site let me book tickets for nov for jfk to kin?
negative,0.662,Southwest,@SouthwestAir why are you the ONLY airline that is not flying out of BNA today?
negative,0.6621,United,"@united and btw, the @Virgin and @JetBlue managed on time departures same time same destination- &amp; wouldn't take away a 9year old kids bag!"
negative,0.6622,United,@united Monday evening.
negative,0.6625,Delta,@JetBlue I can probably find some of them. Are the ticket #s on there?
negative,0.6625,United,@united once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again
negative,0.6627,US Airways,@USAirways ticket couldnt be used bc unable to get to departing dest (RSW) bc of blizzard in BOS. Told only way to use credit is $200 fine
negative,0.6628,United,"@united - tick, tock, tick, tock, it is rapidly approaching the next dream departure of 1:45pm. When is the next fantasy departure time??"
negative,0.6628,United,"@united I got an email saying ""changes to my MileagePlus account are confirmed"" but I didn't make any changes. Help?"
negative,0.6629,American,@AmericanAir can I get home before 12 or no?
negative,0.6629,American,@AmericanAir makes some small improvements and retains their program they win all. They keep the crappy food and change advantage they lose
negative,0.6629,Delta,"@JetBlue I want to add, my flight to Mexico was on Air Canada. Same exact situation, but with none of the problems I've had with Jet Blue."
negative,0.663,United,"@united Nope. Walked up &amp; down the ORF terminal, &amp; not a United agent to be found. Showed up @ last minute to board us. Many panicked people"
negative,0.663,United,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw
negative,0.663,United,@united plz don't advertise wifi if it's not gonna work thanks #worstflightever
negative,0.6631,Southwest,@SouthwestAir some woman gets on plane and holds 2 seats in the bulkhead for her friends with C boarding passes. I paid $ earlybird thx
negative,0.6632,Delta,@JetBlue note the time this was taken (now at 906 am) and flight still listed as on time for 910 when I'm not onboard http://t.co/zvfmxnuELJ
